Toothbrush ID,Village ID,Date,Number of Times Brushed,Total Time Brushed (s)
toothbrush1,village1,2023-02-20,2,87
toothbrush1,village1,2023-02-21,1,98
toothbrush1,village1,2023-02-22,2,99
toothbrush1,village1,2023-02-23,1,45
toothbrush1,village1,2023-02-24,0,0
toothbrush1,village1,2023-02-25,1,98
toothbrush1,village1,2023-02-26,0,0
toothbrush1,village1,2023-02-27,0,0
toothbrush1,village1,2023-02-28,2,144
toothbrush1,village1,2023-03-01,2,163
toothbrush1,village1,2023-03-02,0,0
toothbrush1,village1,2023-03-03,2,114
toothbrush1,village1,2023-03-04,1,76
toothbrush1,village1,2023-03-05,0,0
toothbrush1,village1,2023-03-06,2,130
toothbrush1,village1,2023-03-07,1,119
toothbrush1,village1,2023-03-08,2,150
toothbrush1,village1,2023-03-09,0,0
toothbrush1,village1,2023-03-10,0,0
toothbrush1,village1,2023-03-11,0,0
toothbrush1,village1,2023-03-12,2,202
toothbrush1,village1,2023-03-13,2,161
toothbrush1,village1,2023-03-14,0,0
toothbrush1,village1,2023-03-15,1,48
toothbrush1,village1,2023-03-16,0,0
toothbrush1,village1,2023-03-17,1,120
toothbrush1,village1,2023-03-18,1,100
toothbrush1,village1,2023-03-19,0,0
toothbrush1,village1,2023-03-20,0,0
toothbrush1,village1,2023-03-21,2,102
toothbrush1,village1,2023-03-22,1,39
toothbrush1,village1,2023-03-23,2,150
toothbrush1,village1,2023-03-24,2,107
toothbrush1,village1,2023-03-25,1,116
toothbrush1,village1,2023-03-26,0,0
toothbrush1,village1,2023-03-27,0,0
toothbrush1,village1,2023-03-28,0,0
toothbrush1,village1,2023-03-29,1,112
toothbrush1,village1,2023-03-30,1,36
toothbrush1,village1,2023-03-31,2,119
toothbrush1,village1,2023-04-01,0,0
toothbrush1,village1,2023-04-02,2,153
toothbrush1,village1,2023-04-03,0,0
toothbrush1,village1,2023-04-04,0,0
toothbrush1,village1,2023-04-05,1,90
toothbrush1,village1,2023-04-06,0,0
toothbrush1,village1,2023-04-07,0,0
toothbrush1,village1,2023-04-08,0,0
toothbrush1,village1,2023-04-09,2,150
toothbrush1,village1,2023-04-10,1,72
toothbrush1,village1,2023-04-11,2,190
toothbrush1,village1,2023-04-12,0,0
toothbrush1,village1,2023-04-13,0,0
toothbrush1,village1,2023-04-14,1,90
toothbrush1,village1,2023-04-15,1,78
toothbrush1,village1,2023-04-16,1,88
toothbrush1,village1,2023-04-17,0,0
toothbrush1,village1,2023-04-18,0,0
toothbrush1,village1,2023-04-19,2,141
toothbrush1,village1,2023-04-20,2,212
toothbrush1,village1,2023-04-21,2,178
toothbrush1,village1,2023-04-22,1,66
toothbrush1,village1,2023-04-23,0,0
toothbrush1,village1,2023-04-24,2,118
toothbrush1,village1,2023-04-25,1,59
toothbrush1,village1,2023-04-26,1,114
toothbrush1,village1,2023-04-27,0,0
toothbrush1,village1,2023-04-28,1,44
toothbrush1,village1,2023-04-29,0,0
toothbrush1,village1,2023-04-30,1,31
toothbrush1,village1,2023-05-01,0,0
toothbrush1,village1,2023-05-02,1,89
toothbrush1,village1,2023-05-03,2,142
toothbrush1,village1,2023-05-04,2,97
toothbrush1,village1,2023-05-05,1,90
toothbrush1,village1,2023-05-06,2,213
toothbrush1,village1,2023-05-07,1,119
toothbrush1,village1,2023-05-08,2,98
toothbrush1,village1,2023-05-09,0,0
toothbrush1,village1,2023-05-10,2,222
toothbrush1,village1,2023-05-11,1,119
toothbrush1,village1,2023-05-12,0,0
toothbrush1,village1,2023-05-13,2,137
toothbrush1,village1,2023-05-14,0,0
toothbrush1,village1,2023-05-15,1,63
toothbrush1,village1,2023-05-16,1,71
toothbrush1,village1,2023-05-17,0,0
toothbrush1,village1,2023-05-18,0,0
toothbrush1,village1,2023-05-19,0,0
toothbrush1,village1,2023-05-20,2,184
toothbrush1,village1,2023-05-21,0,0
toothbrush1,village1,2023-05-22,1,56
toothbrush1,village1,2023-05-23,2,156
toothbrush1,village1,2023-05-24,1,115
toothbrush1,village1,2023-05-25,0,0
toothbrush1,village1,2023-05-26,1,45
toothbrush1,village1,2023-05-27,2,90
toothbrush1,village1,2023-05-28,2,95
toothbrush1,village1,2023-05-29,1,34
toothbrush1,village1,2023-05-30,0,0
toothbrush1,village1,2023-05-31,0,0
toothbrush1,village1,2023-06-01,2,92
toothbrush1,village1,2023-06-02,0,0
toothbrush1,village1,2023-06-03,0,0
toothbrush1,village1,2023-06-04,1,83
toothbrush1,village1,2023-06-05,0,0
toothbrush1,village1,2023-06-06,0,0
toothbrush1,village1,2023-06-07,0,0
toothbrush1,village1,2023-06-08,1,114
toothbrush1,village1,2023-06-09,1,85
toothbrush1,village1,2023-06-10,0,0
toothbrush1,village1,2023-06-11,2,124
toothbrush1,village1,2023-06-12,1,45
toothbrush1,village1,2023-06-13,2,117
toothbrush1,village1,2023-06-14,2,125
toothbrush1,village1,2023-06-15,1,85
toothbrush1,village1,2023-06-16,2,168
toothbrush1,village1,2023-06-17,2,206
toothbrush1,village1,2023-06-18,2,167
toothbrush1,village1,2023-06-19,2,213
toothbrush1,village1,2023-06-20,2,144
toothbrush1,village1,2023-06-21,1,37
toothbrush1,village1,2023-06-22,0,0
toothbrush1,village1,2023-06-23,1,111
toothbrush1,village1,2023-06-24,0,0
toothbrush1,village1,2023-06-25,1,95
toothbrush1,village1,2023-06-26,1,94
toothbrush1,village1,2023-06-27,2,140
toothbrush1,village1,2023-06-28,0,0
toothbrush1,village1,2023-06-29,1,94
toothbrush1,village1,2023-06-30,1,67
toothbrush1,village1,2023-07-01,2,134
toothbrush1,village1,2023-07-02,2,125
toothbrush1,village1,2023-07-03,2,185
toothbrush1,village1,2023-07-04,1,44
toothbrush1,village1,2023-07-05,0,0
toothbrush1,village1,2023-07-06,1,54
toothbrush1,village1,2023-07-07,2,93
toothbrush1,village1,2023-07-08,1,38
toothbrush1,village1,2023-07-09,2,144
toothbrush1,village1,2023-07-10,2,190
toothbrush1,village1,2023-07-11,1,101
toothbrush1,village1,2023-07-12,0,0
toothbrush1,village1,2023-07-13,1,92
toothbrush1,village1,2023-07-14,1,84
toothbrush1,village1,2023-07-15,2,187
toothbrush1,village1,2023-07-16,2,163
toothbrush1,village1,2023-07-17,1,87
toothbrush1,village1,2023-07-18,2,171
toothbrush1,village1,2023-07-19,2,122
toothbrush1,village1,2023-07-20,0,0
toothbrush1,village1,2023-07-21,1,63
toothbrush1,village1,2023-07-22,1,56
toothbrush1,village1,2023-07-23,2,190
toothbrush1,village1,2023-07-24,0,0
toothbrush1,village1,2023-07-25,2,87
toothbrush1,village1,2023-07-26,2,167
toothbrush1,village1,2023-07-27,2,162
toothbrush1,village1,2023-07-28,2,189
toothbrush1,village1,2023-07-29,2,202
toothbrush1,village1,2023-07-30,1,70
toothbrush1,village1,2023-07-31,2,223
toothbrush1,village1,2023-08-01,1,50
toothbrush1,village1,2023-08-02,2,172
toothbrush1,village1,2023-08-03,1,64
toothbrush1,village1,2023-08-04,2,149
toothbrush1,village1,2023-08-05,2,200
toothbrush1,village1,2023-08-06,2,153
toothbrush1,village1,2023-08-07,2,165
toothbrush1,village1,2023-08-08,2,142
toothbrush1,village1,2023-08-09,1,61
toothbrush1,village1,2023-08-10,2,162
toothbrush1,village1,2023-08-11,0,0
toothbrush1,village1,2023-08-12,1,97
toothbrush1,village1,2023-08-13,1,117
toothbrush1,village1,2023-08-14,2,85
toothbrush1,village1,2023-08-15,2,145
toothbrush1,village1,2023-08-16,0,0
toothbrush1,village1,2023-08-17,2,112
toothbrush1,village1,2023-08-18,0,0
toothbrush1,village1,2023-08-19,2,90
toothbrush1,village1,2023-08-20,1,41
toothbrush1,village1,2023-08-21,2,180
toothbrush1,village1,2023-08-22,2,150
toothbrush1,village1,2023-08-23,1,105
toothbrush1,village1,2023-08-24,1,114
toothbrush1,village1,2023-08-25,1,116
toothbrush1,village1,2023-08-26,0,0
toothbrush1,village1,2023-08-27,2,147
toothbrush1,village1,2023-08-28,2,234
toothbrush1,village1,2023-08-29,2,181
toothbrush1,village1,2023-08-30,0,0
toothbrush1,village1,2023-08-31,0,0
toothbrush1,village1,2023-09-01,0,0
toothbrush1,village1,2023-09-02,0,0
toothbrush1,village1,2023-09-03,1,47
toothbrush1,village1,2023-09-04,0,0
toothbrush1,village1,2023-09-05,1,31
toothbrush1,village1,2023-09-06,0,0
toothbrush1,village1,2023-09-07,1,53
toothbrush1,village1,2023-09-08,2,147
toothbrush1,village1,2023-09-09,1,37
toothbrush1,village1,2023-09-10,2,146
toothbrush1,village1,2023-09-11,0,0
toothbrush1,village1,2023-09-12,2,196
toothbrush1,village1,2023-09-13,1,54
toothbrush1,village1,2023-09-14,1,85
toothbrush1,village1,2023-09-15,0,0
toothbrush1,village1,2023-09-16,0,0
toothbrush1,village1,2023-09-17,2,169
toothbrush1,village1,2023-09-18,1,119
toothbrush1,village1,2023-09-19,0,0
toothbrush1,village1,2023-09-20,1,79
toothbrush1,village1,2023-09-21,2,161
toothbrush1,village1,2023-09-22,2,111
toothbrush1,village1,2023-09-23,1,63
toothbrush1,village1,2023-09-24,2,125
toothbrush1,village1,2023-09-25,0,0
toothbrush1,village1,2023-09-26,1,72
toothbrush1,village1,2023-09-27,0,0
toothbrush1,village1,2023-09-28,2,112
toothbrush1,village1,2023-09-29,2,103
toothbrush1,village1,2023-09-30,0,0
toothbrush1,village1,2023-10-01,1,85
toothbrush1,village1,2023-10-02,0,0
toothbrush1,village1,2023-10-03,1,88
toothbrush1,village1,2023-10-04,0,0
toothbrush1,village1,2023-10-05,2,157
toothbrush1,village1,2023-10-06,0,0
toothbrush1,village1,2023-10-07,2,203
toothbrush1,village1,2023-10-08,2,110
toothbrush1,village1,2023-10-09,1,97
toothbrush1,village1,2023-10-10,0,0
toothbrush1,village1,2023-10-11,2,163
toothbrush1,village1,2023-10-12,0,0
toothbrush1,village1,2023-10-13,1,83
toothbrush1,village1,2023-10-14,1,103
toothbrush1,village1,2023-10-15,0,0
toothbrush1,village1,2023-10-16,2,111
toothbrush1,village1,2023-10-17,1,35
toothbrush1,village1,2023-10-18,0,0
toothbrush1,village1,2023-10-19,1,44
toothbrush1,village1,2023-10-20,1,33
toothbrush1,village1,2023-10-21,0,0
toothbrush1,village1,2023-10-22,1,106
toothbrush1,village1,2023-10-23,0,0
toothbrush1,village1,2023-10-24,2,136
toothbrush1,village1,2023-10-25,0,0
toothbrush1,village1,2023-10-26,1,77
toothbrush1,village1,2023-10-27,1,91
toothbrush1,village1,2023-10-28,2,137
toothbrush1,village1,2023-10-29,1,91
toothbrush1,village1,2023-10-30,2,120
toothbrush1,village1,2023-10-31,1,115
toothbrush1,village1,2023-11-01,0,0
toothbrush1,village1,2023-11-02,0,0
toothbrush1,village1,2023-11-03,1,69
toothbrush1,village1,2023-11-04,2,217
toothbrush1,village1,2023-11-05,1,102
toothbrush1,village1,2023-11-06,1,40
toothbrush1,village1,2023-11-07,1,32
toothbrush1,village1,2023-11-08,1,88
toothbrush1,village1,2023-11-09,2,136
toothbrush1,village1,2023-11-10,2,179
toothbrush1,village1,2023-11-11,1,95
toothbrush1,village1,2023-11-12,0,0
toothbrush1,village1,2023-11-13,2,205
toothbrush1,village1,2023-11-14,0,0
toothbrush1,village1,2023-11-15,1,95
toothbrush1,village1,2023-11-16,0,0
toothbrush1,village1,2023-11-17,1,89
toothbrush1,village1,2023-11-18,1,45
toothbrush1,village1,2023-11-19,2,187
toothbrush1,village1,2023-11-20,1,59
toothbrush1,village1,2023-11-21,2,157
toothbrush1,village1,2023-11-22,0,0
toothbrush1,village1,2023-11-23,0,0
toothbrush1,village1,2023-11-24,2,178
toothbrush1,village1,2023-11-25,1,101
toothbrush1,village1,2023-11-26,2,116
toothbrush1,village1,2023-11-27,0,0
toothbrush1,village1,2023-11-28,2,125
toothbrush1,village1,2023-11-29,0,0
toothbrush1,village1,2023-11-30,0,0
toothbrush1,village1,2023-12-01,2,133
toothbrush1,village1,2023-12-02,0,0
toothbrush1,village1,2023-12-03,2,124
toothbrush1,village1,2023-12-04,0,0
toothbrush1,village1,2023-12-05,2,133
toothbrush1,village1,2023-12-06,0,0
toothbrush1,village1,2023-12-07,2,156
toothbrush1,village1,2023-12-08,2,133
toothbrush1,village1,2023-12-09,2,83
toothbrush1,village1,2023-12-10,1,112
toothbrush1,village1,2023-12-11,1,31
toothbrush1,village1,2023-12-12,1,65
toothbrush1,village1,2023-12-13,0,0
toothbrush1,village1,2023-12-14,0,0
toothbrush1,village1,2023-12-15,1,60
toothbrush1,village1,2023-12-16,1,55
toothbrush1,village1,2023-12-17,1,101
toothbrush1,village1,2023-12-18,2,197
toothbrush1,village1,2023-12-19,1,106
toothbrush1,village1,2023-12-20,2,158
toothbrush1,village1,2023-12-21,2,188
toothbrush1,village1,2023-12-22,1,42
toothbrush1,village1,2023-12-23,2,134
toothbrush1,village1,2023-12-24,1,54
toothbrush1,village1,2023-12-25,0,0
toothbrush1,village1,2023-12-26,1,37
toothbrush1,village1,2023-12-27,0,0
toothbrush1,village1,2023-12-28,1,39
toothbrush1,village1,2023-12-29,2,190
toothbrush1,village1,2023-12-30,1,119
toothbrush1,village1,2023-12-31,1,46
toothbrush2,village4,2023-01-01,0,0
toothbrush2,village4,2023-01-02,2,180
toothbrush2,village4,2023-01-03,1,93
toothbrush2,village4,2023-01-04,0,0
toothbrush2,village4,2023-01-05,0,0
toothbrush2,village4,2023-01-06,2,144
toothbrush2,village4,2023-01-07,1,47
toothbrush2,village4,2023-01-08,2,107
toothbrush2,village4,2023-01-09,1,96
toothbrush2,village4,2023-01-10,2,148
toothbrush2,village4,2023-01-11,2,152
toothbrush2,village4,2023-01-12,2,145
toothbrush2,village4,2023-01-13,1,97
toothbrush2,village4,2023-01-14,1,119
toothbrush2,village4,2023-01-15,1,52
toothbrush2,village4,2023-01-16,1,34
toothbrush2,village4,2023-01-17,0,0
toothbrush2,village4,2023-01-18,2,89
toothbrush2,village4,2023-01-19,1,110
toothbrush2,village4,2023-01-20,1,48
toothbrush2,village4,2023-01-21,2,67
toothbrush2,village4,2023-01-22,2,127
toothbrush2,village4,2023-01-23,1,37
toothbrush2,village4,2023-01-24,0,0
toothbrush2,village4,2023-01-25,2,184
toothbrush2,village4,2023-01-26,1,94
toothbrush2,village4,2023-01-27,2,150
toothbrush2,village4,2023-01-28,1,115
toothbrush2,village4,2023-01-29,2,131
toothbrush2,village4,2023-01-30,0,0
toothbrush2,village4,2023-01-31,2,147
toothbrush2,village4,2023-02-01,1,90
toothbrush2,village4,2023-02-02,1,31
toothbrush2,village4,2023-02-03,2,192
toothbrush2,village4,2023-02-04,2,124
toothbrush2,village4,2023-02-05,0,0
toothbrush2,village4,2023-02-06,0,0
toothbrush2,village4,2023-02-07,2,156
toothbrush2,village4,2023-02-08,1,48
toothbrush2,village4,2023-02-09,2,170
toothbrush2,village4,2023-02-10,2,107
toothbrush2,village4,2023-02-11,0,0
toothbrush2,village4,2023-02-12,1,106
toothbrush2,village4,2023-02-13,0,0
toothbrush2,village4,2023-02-14,0,0
toothbrush2,village4,2023-02-15,2,153
toothbrush2,village4,2023-02-16,2,160
toothbrush2,village4,2023-02-17,2,145
toothbrush2,village4,2023-02-18,0,0
toothbrush2,village4,2023-02-19,1,34
toothbrush2,village4,2023-02-20,1,47
toothbrush2,village4,2023-02-21,2,180
toothbrush2,village4,2023-02-22,0,0
toothbrush2,village4,2023-02-23,0,0
toothbrush2,village4,2023-02-24,0,0
toothbrush2,village4,2023-02-25,2,160
toothbrush2,village4,2023-02-26,2,76
toothbrush2,village4,2023-02-27,1,35
toothbrush2,village4,2023-02-28,2,168
toothbrush2,village4,2023-03-01,0,0
toothbrush2,village4,2023-03-02,2,138
toothbrush2,village4,2023-03-03,1,72
toothbrush2,village4,2023-03-04,0,0
toothbrush2,village4,2023-03-05,2,114
toothbrush2,village4,2023-03-06,0,0
toothbrush2,village4,2023-03-07,1,38
toothbrush2,village4,2023-03-08,0,0
toothbrush2,village4,2023-03-09,1,59
toothbrush2,village4,2023-03-10,1,51
toothbrush2,village4,2023-03-11,1,99
toothbrush2,village4,2023-03-12,2,168
toothbrush2,village4,2023-03-13,2,125
toothbrush2,village4,2023-03-14,2,107
toothbrush2,village4,2023-03-15,1,30
toothbrush2,village4,2023-03-16,2,153
toothbrush2,village4,2023-03-17,2,132
toothbrush2,village4,2023-03-18,1,54
toothbrush2,village4,2023-03-19,2,189
toothbrush2,village4,2023-03-20,2,171
toothbrush2,village4,2023-03-21,1,43
toothbrush2,village4,2023-03-22,0,0
toothbrush2,village4,2023-03-23,2,216
toothbrush2,village4,2023-03-24,0,0
toothbrush2,village4,2023-03-25,0,0
toothbrush2,village4,2023-03-26,1,69
toothbrush2,village4,2023-03-27,0,0
toothbrush2,village4,2023-03-28,0,0
toothbrush2,village4,2023-03-29,1,56
toothbrush2,village4,2023-03-30,1,32
toothbrush2,village4,2023-03-31,2,173
toothbrush2,village4,2023-04-01,1,63
toothbrush2,village4,2023-04-02,0,0
toothbrush2,village4,2023-04-03,0,0
toothbrush2,village4,2023-04-04,1,49
toothbrush2,village4,2023-04-05,2,125
toothbrush2,village4,2023-04-06,1,53
toothbrush2,village4,2023-04-07,1,55
toothbrush2,village4,2023-04-08,2,111
toothbrush2,village4,2023-04-09,2,97
toothbrush2,village4,2023-04-10,0,0
toothbrush2,village4,2023-04-11,0,0
toothbrush2,village4,2023-04-12,2,80
toothbrush2,village4,2023-04-13,0,0
toothbrush2,village4,2023-04-14,0,0
toothbrush2,village4,2023-04-15,1,113
toothbrush2,village4,2023-04-16,2,123
toothbrush2,village4,2023-04-17,1,50
toothbrush2,village4,2023-04-18,1,54
toothbrush2,village4,2023-04-19,1,63
toothbrush2,village4,2023-04-20,0,0
toothbrush2,village4,2023-04-21,0,0
toothbrush2,village4,2023-04-22,0,0
toothbrush2,village4,2023-04-23,2,152
toothbrush2,village4,2023-04-24,1,91
toothbrush2,village4,2023-04-25,1,84
toothbrush2,village4,2023-04-26,2,100
toothbrush2,village4,2023-04-27,1,115
toothbrush2,village4,2023-04-28,0,0
toothbrush2,village4,2023-04-29,2,127
toothbrush2,village4,2023-04-30,1,39
toothbrush2,village4,2023-05-01,1,108
toothbrush2,village4,2023-05-02,0,0
toothbrush2,village4,2023-05-03,0,0
toothbrush2,village4,2023-05-04,0,0
toothbrush2,village4,2023-05-05,2,146
toothbrush2,village4,2023-05-06,2,211
toothbrush2,village4,2023-05-07,2,110
toothbrush2,village4,2023-05-08,0,0
toothbrush2,village4,2023-05-09,1,100
toothbrush2,village4,2023-05-10,0,0
toothbrush2,village4,2023-05-11,2,151
toothbrush2,village4,2023-05-12,0,0
toothbrush2,village4,2023-05-13,1,33
toothbrush2,village4,2023-05-14,1,117
toothbrush2,village4,2023-05-15,1,69
toothbrush2,village4,2023-05-16,1,73
toothbrush2,village4,2023-05-17,1,119
toothbrush2,village4,2023-05-18,2,116
toothbrush2,village4,2023-05-19,0,0
toothbrush2,village4,2023-05-20,1,59
toothbrush2,village4,2023-05-21,0,0
toothbrush2,village4,2023-05-22,1,66
toothbrush2,village4,2023-05-23,2,175
toothbrush2,village4,2023-05-24,0,0
toothbrush2,village4,2023-05-25,1,91
toothbrush2,village4,2023-05-26,2,66
toothbrush2,village4,2023-05-27,1,93
toothbrush2,village4,2023-05-28,0,0
toothbrush2,village4,2023-05-29,0,0
toothbrush2,village4,2023-05-30,2,83
toothbrush2,village4,2023-05-31,1,35
toothbrush2,village4,2023-06-01,0,0
toothbrush2,village4,2023-06-02,1,31
toothbrush2,village4,2023-06-03,0,0
toothbrush2,village4,2023-06-04,1,51
toothbrush2,village4,2023-06-05,1,49
toothbrush2,village4,2023-06-06,1,86
toothbrush2,village4,2023-06-07,1,111
toothbrush2,village4,2023-06-08,1,93
toothbrush2,village4,2023-06-09,1,72
toothbrush2,village4,2023-06-10,2,158
toothbrush2,village4,2023-06-11,0,0
toothbrush2,village4,2023-06-12,1,68
toothbrush2,village4,2023-06-13,0,0
toothbrush2,village4,2023-06-14,2,164
toothbrush2,village4,2023-06-15,2,191
toothbrush2,village4,2023-06-16,2,74
toothbrush2,village4,2023-06-17,0,0
toothbrush2,village4,2023-06-18,2,109
toothbrush2,village4,2023-06-19,1,60
toothbrush2,village4,2023-06-20,0,0
toothbrush2,village4,2023-06-21,0,0
toothbrush2,village4,2023-06-22,2,146
toothbrush2,village4,2023-06-23,1,42
toothbrush2,village4,2023-06-24,1,102
toothbrush2,village4,2023-06-25,2,212
toothbrush2,village4,2023-06-26,0,0
toothbrush2,village4,2023-06-27,1,41
toothbrush2,village4,2023-06-28,2,160
toothbrush2,village4,2023-06-29,2,226
toothbrush2,village4,2023-06-30,2,141
toothbrush2,village4,2023-07-01,2,169
toothbrush2,village4,2023-07-02,1,32
toothbrush2,village4,2023-07-03,1,101
toothbrush2,village4,2023-07-04,1,110
toothbrush2,village4,2023-07-05,0,0
toothbrush2,village4,2023-07-06,2,112
toothbrush2,village4,2023-07-07,0,0
toothbrush2,village4,2023-07-08,1,39
toothbrush2,village4,2023-07-09,2,215
toothbrush2,village4,2023-07-10,1,38
toothbrush2,village4,2023-07-11,0,0
toothbrush2,village4,2023-07-12,1,42
toothbrush2,village4,2023-07-13,0,0
toothbrush2,village4,2023-07-14,1,75
toothbrush2,village4,2023-07-15,1,81
toothbrush2,village4,2023-07-16,0,0
toothbrush2,village4,2023-07-17,2,159
toothbrush2,village4,2023-07-18,1,120
toothbrush2,village4,2023-07-19,0,0
toothbrush2,village4,2023-07-20,0,0
toothbrush2,village4,2023-07-21,2,102
toothbrush2,village4,2023-07-22,0,0
toothbrush2,village4,2023-07-23,1,74
toothbrush2,village4,2023-07-24,1,119
toothbrush2,village4,2023-07-25,0,0
toothbrush2,village4,2023-07-26,2,157
toothbrush2,village4,2023-07-27,0,0
toothbrush2,village4,2023-07-28,2,175
toothbrush2,village4,2023-07-29,0,0
toothbrush2,village4,2023-07-30,2,134
toothbrush2,village4,2023-07-31,2,159
toothbrush2,village4,2023-08-01,1,48
toothbrush2,village4,2023-08-02,2,156
toothbrush2,village4,2023-08-03,0,0
toothbrush2,village4,2023-08-04,2,205
toothbrush2,village4,2023-08-05,1,61
toothbrush2,village4,2023-08-06,1,82
toothbrush2,village4,2023-08-07,2,129
toothbrush2,village4,2023-08-08,0,0
toothbrush2,village4,2023-08-09,2,115
toothbrush2,village4,2023-08-10,2,192
toothbrush2,village4,2023-08-11,0,0
toothbrush2,village4,2023-08-12,2,180
toothbrush2,village4,2023-08-13,2,152
toothbrush2,village4,2023-08-14,1,42
toothbrush2,village4,2023-08-15,2,104
toothbrush2,village4,2023-08-16,2,117
toothbrush2,village4,2023-08-17,0,0
toothbrush2,village4,2023-08-18,2,142
toothbrush2,village4,2023-08-19,0,0
toothbrush2,village4,2023-08-20,1,106
toothbrush2,village4,2023-08-21,2,142
toothbrush2,village4,2023-08-22,0,0
toothbrush2,village4,2023-08-23,0,0
toothbrush2,village4,2023-08-24,2,89
toothbrush2,village4,2023-08-25,1,80
toothbrush2,village4,2023-08-26,1,112
toothbrush2,village4,2023-08-27,1,33
toothbrush2,village4,2023-08-28,0,0
toothbrush2,village4,2023-08-29,1,93
toothbrush2,village4,2023-08-30,1,44
toothbrush2,village4,2023-08-31,1,67
toothbrush2,village4,2023-09-01,2,155
toothbrush2,village4,2023-09-02,0,0
toothbrush2,village4,2023-09-03,2,142
toothbrush2,village4,2023-09-04,2,191
toothbrush2,village4,2023-09-05,2,165
toothbrush2,village4,2023-09-06,1,117
toothbrush2,village4,2023-09-07,2,138
toothbrush2,village4,2023-09-08,1,35
toothbrush2,village4,2023-09-09,2,163
toothbrush2,village4,2023-09-10,0,0
toothbrush2,village4,2023-09-11,1,87
toothbrush2,village4,2023-09-12,0,0
toothbrush2,village4,2023-09-13,0,0
toothbrush2,village4,2023-09-14,1,62
toothbrush2,village4,2023-09-15,0,0
toothbrush2,village4,2023-09-16,1,108
toothbrush2,village4,2023-09-17,2,139
toothbrush2,village4,2023-09-18,2,117
toothbrush2,village4,2023-09-19,1,41
toothbrush2,village4,2023-09-20,1,49
toothbrush2,village4,2023-09-21,2,145
toothbrush2,village4,2023-09-22,1,104
toothbrush2,village4,2023-09-23,1,112
toothbrush2,village4,2023-09-24,2,73
toothbrush2,village4,2023-09-25,1,31
toothbrush2,village4,2023-09-26,1,102
toothbrush2,village4,2023-09-27,2,233
toothbrush2,village4,2023-09-28,0,0
toothbrush2,village4,2023-09-29,2,187
toothbrush2,village4,2023-09-30,1,80
toothbrush2,village4,2023-10-01,0,0
toothbrush2,village4,2023-10-02,2,158
toothbrush2,village4,2023-10-03,1,56
toothbrush2,village4,2023-10-04,1,80
toothbrush2,village4,2023-10-05,1,31
toothbrush2,village4,2023-10-06,2,189
toothbrush2,village4,2023-10-07,2,105
toothbrush2,village4,2023-10-08,1,94
toothbrush2,village4,2023-10-09,0,0
toothbrush2,village4,2023-10-10,0,0
toothbrush2,village4,2023-10-11,1,119
toothbrush2,village4,2023-10-12,0,0
toothbrush2,village4,2023-10-13,2,109
toothbrush2,village4,2023-10-14,0,0
toothbrush2,village4,2023-10-15,0,0
toothbrush2,village4,2023-10-16,2,169
toothbrush2,village4,2023-10-17,0,0
toothbrush2,village4,2023-10-18,0,0
toothbrush2,village4,2023-10-19,0,0
toothbrush2,village4,2023-10-20,2,110
toothbrush2,village4,2023-10-21,2,137
toothbrush2,village4,2023-10-22,1,67
toothbrush2,village4,2023-10-23,2,136
toothbrush2,village4,2023-10-24,0,0
